Zone,Type,Is a Brand?,Is linked?,NIC URL
aaa,g,true,❌,nic.aaa
aarp,g,true,❌,nic.aarp
abb,g,true,❌,nic.abb
abbott,g,true,❌,nic.abbott
abbvie,g,true,❌,nic.abbvie
abc,g,true,❌,nic.abc
able,g,true,❌,nic.able
abogado,g,false,❌,nic.abogado
abudhabi,g,false,❌,nic.abudhabi
ac,cc,false,❌,nic.ac
academy,g,false,❌,nic.academy
accenture,g,true,❌,nic.accenture
accountant,g,false,❌,nic.accountant
accountants,g,false,❌,nic.accountants
aco,g,true,❌,nic.aco
actor,g,false,❌,nic.actor
ad,cc,false,❌,nic.ad
ads,g,false,❌,nic.ads
adult,g,false,❌,nic.adult
ae,cc,false,✅,nic.ae
aeg,g,true,❌,nic.aeg
aero,g,false,❌,nic.aero
aetna,g,true,❌,nic.aetna
af,cc,false,❌,nic.af
afl,g,true,❌,nic.afl
africa,g,false,❌,nic.africa
ag,cc,false,❌,nic.ag
agakhan,g,true,❌,nic.agakhan
agency,g,false,❌,nic.agency
ai,cc,false,❌,nic.ai
aig,g,true,❌,nic.aig
airbus,g,true,❌,nic.airbus
airforce,g,false,❌,nic.airforce
airtel,g,true,❌,nic.airtel
akdn,g,true,❌,nic.akdn
al,cc,false,❌,nic.al
alibaba,g,true,❌,nic.alibaba
alipay,g,true,❌,nic.alipay
allfinanz,g,true,❌,nic.allfinanz
allstate,g,true,❌,nic.allstate
ally,g,true,❌,nic.ally
alsace,g,false,❌,nic.alsace
alstom,g,true,❌,nic.alstom
am,cc,false,❌,nic.am
amazon,g,true,❌,nic.amazon
americanexpress,g,true,❌,nic.americanexpress
americanfamily,g,true,❌,nic.americanfamily
amex,g,true,❌,nic.amex
amfam,g,true,❌,nic.amfam
amica,g,true,❌,nic.amica
amsterdam,g,false,❌,nic.amsterdam
analytics,g,false,❌,nic.analytics
android,g,true,❌,nic.android
anquan,g,false,❌,nic.anquan
anz,g,true,❌,nic.anz
ao,cc,false,❌,nic.ao
aol,g,true,❌,nic.aol
apartments,g,false,❌,nic.apartments
app,g,false,❌,nic.app
apple,g,true,❌,nic.apple
aq,cc,false,❌,nic.aq
aquarelle,g,true,❌,nic.aquarelle
ar,cc,false,✅,nic.ar
arab,g,false,❌,nic.arab
aramco,g,true,❌,nic.aramco
archi,g,false,❌,nic.archi
army,g,false,❌,nic.army
arpa,g,false,❌,nic.arpa
art,g,false,❌,nic.art
arte,g,true,❌,nic.arte
as,cc,false,❌,nic.as
asda,g,true,❌,nic.asda
asia,g,false,❌,nic.asia
associates,g,false,❌,nic.associates
at,cc,false,✅,nic.at
athleta,g,true,❌,nic.athleta
attorney,g,false,❌,nic.attorney
au,cc,false,✅,nic.au
auction,g,false,❌,nic.auction
audi,g,true,❌,nic.audi
audible,g,true,❌,nic.audible
audio,g,false,❌,nic.audio
auspost,g,true,❌,nic.auspost
author,g,false,❌,nic.author
auto,g,false,❌,nic.auto
autos,g,false,❌,nic.autos
aw,cc,false,❌,nic.aw
aws,g,true,❌,nic.aws
ax,cc,false,❌,nic.ax
axa,g,true,❌,nic.axa
az,cc,false,❌,nic.az
azure,g,true,❌,nic.azure
ba,cc,false,❌,nic.ba
baby,g,false,❌,nic.baby
baidu,g,true,❌,nic.baidu
banamex,g,true,❌,nic.banamex
band,g,false,❌,nic.band
bank,g,false,❌,nic.bank
bar,g,false,❌,nic.bar
barcelona,g,false,❌,nic.barcelona
barclaycard,g,true,❌,nic.barclaycard
barclays,g,true,❌,nic.barclays
barefoot,g,true,❌,nic.barefoot
bargains,g,false,❌,nic.bargains
baseball,g,false,❌,nic.baseball
basketball,g,false,❌,nic.basketball
bauhaus,g,true,❌,nic.bauhaus
bayern,g,false,❌,nic.bayern
bb,cc,false,❌,nic.bb
bbc,g,true,❌,nic.bbc
bbt,g,true,❌,nic.bbt
bbva,g,true,❌,nic.bbva
bcg,g,true,❌,nic.bcg
bcn,g,false,❌,nic.bcn
bd,cc,false,❌,nic.bd
be,cc,false,✅,nic.be
beats,g,true,❌,nic.beats
beauty,g,false,❌,nic.beauty
beer,g,false,❌,nic.beer
berlin,g,false,❌,nic.berlin
best,g,false,❌,nic.best
bestbuy,g,true,❌,nic.bestbuy
bet,g,false,❌,nic.bet
bf,cc,false,❌,nic.bf
bg,cc,false,✅,nic.bg
bh,cc,false,❌,nic.bh
bharti,g,true,❌,nic.bharti
bi,cc,false,❌,nic.bi
bible,g,false,❌,nic.bible
bid,g,false,✅,nic.bid
bike,g,false,❌,nic.bike
bing,g,true,❌,nic.bing
bingo,g,false,❌,nic.bingo
bio,g,false,❌,nic.bio
biz,g,false,✅,nic.biz
bj,cc,false,❌,nic.bj
black,g,false,❌,nic.black
blackfriday,g,false,❌,nic.blackfriday
blockbuster,g,true,❌,nic.blockbuster
blog,g,false,❌,nic.blog
bloomberg,g,true,❌,nic.bloomberg
blue,g,false,❌,nic.blue
bm,cc,false,❌,nic.bm
bms,g,true,❌,nic.bms
bmw,g,true,❌,nic.bmw
bn,cc,false,❌,nic.bn
bnpparibas,g,true,❌,nic.bnpparibas
bo,cc,false,✅,nic.bo
boats,g,false,❌,nic.boats
boehringer,g,true,❌,nic.boehringer
bofa,g,true,❌,nic.bofa
bom,g,true,❌,nic.bom
bond,g,true,❌,nic.bond
boo,g,false,❌,nic.boo
book,g,false,❌,nic.book
booking,g,true,❌,nic.booking
bosch,g,true,❌,nic.bosch
bostik,g,true,❌,nic.bostik
boston,g,false,❌,nic.boston
bot,g,false,❌,nic.bot
boutique,g,false,❌,nic.boutique
box,g,false,❌,nic.box
br,cc,false,✅,nic.br
bradesco,g,true,❌,nic.bradesco
bridgestone,g,true,❌,nic.bridgestone
broadway,g,false,❌,nic.broadway
broker,g,false,❌,nic.broker
brother,g,true,❌,nic.brother
brussels,g,false,❌,nic.brussels
bs,cc,false,✅,nic.bs
bt,cc,false,❌,nic.bt
build,g,false,❌,nic.build
builders,g,false,❌,nic.builders
business,g,false,❌,nic.business
buy,g,false,❌,nic.buy
buzz,g,false,❌,nic.buzz
bv,cc,false,❌,nic.bv
bw,cc,false,❌,nic.bw
by,cc,false,❌,nic.by
bz,cc,false,❌,nic.bz
bzh,g,false,❌,nic.bzh
ca,cc,false,✅,nic.ca
cab,g,false,❌,nic.cab
cafe,g,false,❌,nic.cafe
cal,g,true,❌,nic.cal
call,g,false,❌,nic.call
calvinklein,g,true,❌,nic.calvinklein
cam,g,false,❌,nic.cam
camera,g,false,❌,nic.camera
camp,g,false,❌,nic.camp
canon,g,true,❌,nic.canon
capetown,g,false,❌,nic.capetown
capital,g,false,❌,nic.capital
capitalone,g,true,❌,nic.capitalone
car,g,false,❌,nic.car
caravan,g,true,❌,nic.caravan
cards,g,false,❌,nic.cards
care,g,false,❌,nic.care
career,g,false,❌,nic.career
careers,g,false,❌,nic.careers
cars,g,false,❌,nic.cars
casa,g,false,❌,nic.casa
case,g,true,❌,nic.case
cash,g,false,❌,nic.cash
casino,g,false,❌,nic.casino
cat,g,false,❌,nic.cat
catering,g,false,❌,nic.catering
catholic,g,false,❌,nic.catholic
cba,g,true,❌,nic.cba
cbn,g,true,❌,nic.cbn
cbre,g,true,❌,nic.cbre
cc,cc,false,✅,nic.cc
cd,cc,false,❌,nic.cd
center,g,false,❌,nic.center
ceo,g,false,❌,nic.ceo
cern,g,true,❌,nic.cern
cf,cc,false,❌,nic.cf
cfa,g,true,❌,nic.cfa
cfd,g,false,❌,nic.cfd
cg,cc,false,❌,nic.cg
ch,cc,false,✅,nic.ch
chanel,g,true,❌,nic.chanel
channel,g,false,❌,nic.channel
charity,g,false,❌,nic.charity
chase,g,true,❌,nic.chase
chat,g,false,❌,nic.chat
cheap,g,false,❌,nic.cheap
chintai,g,true,❌,nic.chintai
christmas,g,false,❌,nic.christmas
chrome,g,true,❌,nic.chrome
church,g,false,❌,nic.church
ci,cc,false,❌,nic.ci
cipriani,g,true,❌,nic.cipriani
circle,g,false,❌,nic.circle
cisco,g,true,❌,nic.cisco
citadel,g,true,❌,nic.citadel
citi,g,true,❌,nic.citi
citic,g,true,❌,nic.citic
city,g,false,❌,nic.city
ck,cc,false,❌,nic.ck
cl,cc,false,✅,nic.cl
claims,g,false,❌,nic.claims
cleaning,g,false,❌,nic.cleaning
click,g,false,❌,nic.click
clinic,g,false,❌,nic.clinic
clinique,g,true,❌,nic.clinique
clothing,g,false,❌,nic.clothing
cloud,g,false,❌,nic.cloud
club,g,false,✅,nic.club
clubmed,g,true,❌,nic.clubmed
cm,cc,false,✅,nic.cm
cn,cc,false,✅,nic.cn
co,cc,false,✅,nic.co
coach,g,false,❌,nic.coach
codes,g,false,❌,nic.codes
coffee,g,false,❌,nic.coffee
college,g,false,❌,nic.college
cologne,g,false,❌,nic.cologne
com,g,false,✅,nic.com
commbank,g,true,❌,nic.commbank
community,g,false,❌,nic.community
company,g,false,❌,nic.company
compare,g,false,❌,nic.compare
computer,g,false,❌,nic.computer
comsec,g,true,❌,nic.comsec
condos,g,false,❌,nic.condos
construction,g,false,❌,nic.construction
consulting,g,false,❌,nic.consulting
contact,g,false,❌,nic.contact
contractors,g,false,❌,nic.contractors
cooking,g,false,❌,nic.cooking
cool,g,false,❌,nic.cool
coop,g,false,❌,nic.coop
corsica,g,false,❌,nic.corsica
country,g,false,❌,nic.country
coupon,g,false,❌,nic.coupon
coupons,g,false,❌,nic.coupons
courses,g,false,❌,nic.courses
cpa,g,false,❌,nic.cpa
cr,cc,false,❌,nic.cr
credit,g,false,❌,nic.credit
creditcard,g,false,❌,nic.creditcard
creditunion,g,false,❌,nic.creditunion
cricket,g,false,❌,nic.cricket
crown,g,true,❌,nic.crown
crs,g,true,❌,nic.crs
cruise,g,false,❌,nic.cruise
cruises,g,false,❌,nic.cruises
cu,cc,false,❌,nic.cu
cuisinella,g,true,❌,nic.cuisinella
