Zone,Type,Brand,AutoLinked
aaa,gtld,true,true
aarp,gtld,true,true
abb,gtld,true,true
abbott,gtld,true,true
abbvie,gtld,true,false
abc,gtld,true,false
able,gtld,true,false
abogado,gtld,false,true
abudhabi,gtld,false,false
ac,cctld,false,true
academy,gtld,false,true
accenture,gtld,true,true
accountant,gtld,false,true
accountants,gtld,false,true
aco,gtld,true,true
actor,gtld,false,true
ad,cctld,false,true
ads,gtld,false,true
adult,gtld,false,true
ae,cctld,false,true
aeg,gtld,true,true
aero,gtld,false,true
aetna,gtld,true,false
af,cctld,false,true
afl,gtld,true,true
africa,gtld,false,false
ag,cctld,false,true
agakhan,gtld,true,false
agency,gtld,false,true
ai,cctld,false,true
aig,gtld,true,true
airbus,gtld,true,false
airforce,gtld,false,true
airtel,gtld,true,true
akdn,gtld,true,false
al,cctld,false,true
alibaba,gtld,true,false
alipay,gtld,true,false
allfinanz,gtld,true,true
allstate,gtld,true,false
ally,gtld,true,false
alsace,gtld,false,true
alstom,gtld,true,false
am,cctld,false,true
amazon,gtld,true,false
americanexpress,gtld,true,false
americanfamily,gtld,true,false
amex,gtld,true,false
amfam,gtld,true,false
amica,gtld,true,true
amsterdam,gtld,false,true
analytics,gtld,false,false
android,gtld,true,true
anquan,gtld,false,false
anz,gtld,true,false
ao,cctld,false,true
aol,gtld,true,false
apartments,gtld,false,true
app,gtld,false,true
apple,gtld,true,true
aq,cctld,false,true
aquarelle,gtld,true,true
ar,cctld,false,true
arab,gtld,false,false
aramco,gtld,true,true
archi,gtld,false,true
army,gtld,false,true
arpa,gtld,false,true
art,gtld,false,false
arte,gtld,true,true
as,cctld,false,true
asda,gtld,true,false
asia,gtld,false,true
associates,gtld,false,true
at,cctld,false,true
athleta,gtld,true,false
attorney,gtld,false,true
au,cctld,false,true
auction,gtld,false,true
audi,gtld,true,false
audible,gtld,true,false
audio,gtld,false,true
auspost,gtld,true,false
author,gtld,false,false
auto,gtld,false,true
autos,gtld,false,true
aw,cctld,false,true
aws,gtld,true,false
ax,cctld,false,true
axa,gtld,true,true
az,cctld,false,true
azure,gtld,true,true
ba,cctld,false,true
baby,gtld,false,false
baidu,gtld,true,false
banamex,gtld,true,false
band,gtld,false,true
bank,gtld,false,true
bar,gtld,false,true
barcelona,gtld,false,true
barclaycard,gtld,true,true
barclays,gtld,true,true
barefoot,gtld,true,false
bargains,gtld,false,true
baseball,gtld,false,false
basketball,gtld,false,false
bauhaus,gtld,true,true
bayern,gtld,false,true
bb,cctld,false,true
bbc,gtld,true,true
bbt,gtld,true,false
bbva,gtld,true,true
bcg,gtld,true,false
bcn,gtld,false,true
bd,cctld,false,true
be,cctld,false,true
beats,gtld,true,true
beauty,gtld,false,false
beer,gtld,false,true
berlin,gtld,false,true
best,gtld,false,true
bestbuy,gtld,true,false
bet,gtld,false,true
bf,cctld,false,true
bg,cctld,false,true
bh,cctld,false,true
bharti,gtld,true,true
bi,cctld,false,true
bible,gtld,false,true
bid,gtld,false,true
bike,gtld,false,true
bing,gtld,true,true
bingo,gtld,false,true
bio,gtld,false,true
biz,gtld,false,true
bj,cctld,false,true
black,gtld,false,true
blackfriday,gtld,false,true
blockbuster,gtld,true,false
blog,gtld,false,false
bloomberg,gtld,true,true
blue,gtld,false,true
bm,cctld,false,true
bms,gtld,true,true
bmw,gtld,true,true
bn,cctld,false,true
bnpparibas,gtld,true,true
bo,cctld,false,true
boats,gtld,false,true
boehringer,gtld,true,false
bofa,gtld,true,false
bom,gtld,true,true
bond,gtld,true,true
boo,gtld,false,true
book,gtld,false,false
booking,gtld,true,false
bosch,gtld,true,false
bostik,gtld,true,false
boston,gtld,false,false
bot,gtld,false,false
boutique,gtld,false,true
box,gtld,false,false
br,cctld,false,true
bradesco,gtld,true,true
bridgestone,gtld,true,true
broadway,gtld,false,true
broker,gtld,false,true
brother,gtld,true,true
brussels,gtld,false,true
bs,cctld,false,true
bt,cctld,false,true
build,gtld,false,true
builders,gtld,false,true
business,gtld,false,true
buy,gtld,false,false
buzz,gtld,false,true
bv,cctld,false,true
bw,cctld,false,true
by,cctld,false,true
bz,cctld,false,true
bzh,gtld,false,true
ca,cctld,false,true
cab,gtld,false,true
cafe,gtld,false,true
cal,gtld,true,true
call,gtld,false,false
calvinklein,gtld,true,false
cam,gtld,false,false
camera,gtld,false,true
camp,gtld,false,true
canon,gtld,true,true
capetown,gtld,false,true
capital,gtld,false,true
capitalone,gtld,true,false
car,gtld,false,true
caravan,gtld,true,true
cards,gtld,false,true
care,gtld,false,true
career,gtld,false,true
careers,gtld,false,true
cars,gtld,false,true
casa,gtld,false,true
case,gtld,true,false
cash,gtld,false,true
casino,gtld,false,true
cat,gtld,false,true
catering,gtld,false,true
catholic,gtld,false,false
cba,gtld,true,true
cbn,gtld,true,true
cbre,gtld,true,false
cc,cctld,false,true
cd,cctld,false,true
center,gtld,false,true
ceo,gtld,false,true
cern,gtld,true,true
cf,cctld,false,true
cfa,gtld,true,true
cfd,gtld,false,true
cg,cctld,false,true
ch,cctld,false,true
chanel,gtld,true,true
channel,gtld,false,true
charity,gtld,false,false
chase,gtld,true,false
chat,gtld,false,true
cheap,gtld,false,true
chintai,gtld,true,false
christmas,gtld,false,true
chrome,gtld,true,true
church,gtld,false,true
ci,cctld,false,true
cipriani,gtld,true,true
circle,gtld,false,false
cisco,gtld,true,true
citadel,gtld,true,false
citi,gtld,true,false
citic,gtld,true,true
city,gtld,false,true
ck,cctld,false,true
cl,cctld,false,true
