Zone,Type,Brand,AutoLinked
aaa,gtld,true,false
aarp,gtld,true,false
abb,gtld,true,false
abbott,gtld,true,false
abbvie,gtld,true,false
abc,gtld,true,false
able,gtld,false,false
abogado,gtld,false,false
abudhabi,gtld,false,false
ac,cctld,false,false
academy,gtld,false,false
accenture,gtld,true,false
accountant,gtld,false,false
accountants,gtld,false,false
aco,gtld,true,false
actor,gtld,false,false
ad,cctld,false,false
ads,gtld,false,false
adult,gtld,false,false
ae,cctld,false,true
aeg,gtld,true,false
aero,gtld,false,false
aetna,gtld,true,false
af,cctld,false,false
afl,gtld,true,false
africa,gtld,false,false
ag,cctld,false,false
agakhan,gtld,false,false
agency,gtld,false,false
ai,cctld,false,false
aig,gtld,true,false
airbus,gtld,true,false
airforce,gtld,false,false
airtel,gtld,true,false
akdn,gtld,false,false
al,cctld,false,false
alibaba,gtld,true,false
alipay,gtld,true,false
allfinanz,gtld,false,false
allstate,gtld,true,false
ally,gtld,true,false
alsace,gtld,false,false
alstom,gtld,true,false
am,cctld,false,false
amazon,gtld,true,false
americanexpress,gtld,true,false
americanfamily,gtld,true,false
amex,gtld,true,false
amfam,gtld,true,false
amica,gtld,true,false
amsterdam,gtld,false,false
analytics,gtld,false,false
android,gtld,true,false
anquan,gtld,false,false
anz,gtld,true,false
ao,cctld,false,false
aol,gtld,true,false
apartments,gtld,false,false
app,gtld,false,false
apple,gtld,true,false
aq,cctld,false,false
aquarelle,gtld,true,false
ar,cctld,false,true
arab,gtld,false,false
aramco,gtld,false,false
archi,gtld,false,false
army,gtld,false,false
arpa,gtld,false,false
art,gtld,false,false
arte,gtld,true,false
as,cctld,false,false
asda,gtld,true,false
asia,gtld,false,false
associates,gtld,false,false
at,cctld,false,true
athleta,gtld,true,false
attorney,gtld,false,false
au,cctld,false,true
auction,gtld,false,false
audi,gtld,true,false
audible,gtld,true,false
audio,gtld,false,false
auspost,gtld,true,false
author,gtld,false,false
auto,gtld,false,false
autos,gtld,false,false
aw,cctld,false,false
aws,gtld,true,false
ax,cctld,false,false
axa,gtld,true,false
az,cctld,false,false
azure,gtld,true,false
ba,cctld,false,false
baby,gtld,false,false
baidu,gtld,true,false
banamex,gtld,true,false
band,gtld,false,false
bank,gtld,false,false
bar,gtld,false,false
barcelona,gtld,false,false
barclaycard,gtld,true,false
barclays,gtld,true,false
barefoot,gtld,true,false
bargains,gtld,false,false
baseball,gtld,false,false
basketball,gtld,false,false
bauhaus,gtld,true,false
bayern,gtld,false,false
bb,cctld,false,false
bbc,gtld,true,false
bbt,gtld,true,false
bbva,gtld,true,false
bcg,gtld,true,false
bcn,gtld,false,false
bd,cctld,false,false
be,cctld,false,true
beats,gtld,true,false
beauty,gtld,false,false
beer,gtld,false,false
berlin,gtld,false,false
best,gtld,false,false
bestbuy,gtld,true,false
bet,gtld,false,false
bf,cctld,false,false
bg,cctld,false,true
bh,cctld,false,false
bharti,gtld,true,false
bi,cctld,false,false
bible,gtld,false,false
bid,gtld,false,true
bike,gtld,false,false
bing,gtld,true,false
bingo,gtld,false,false
bio,gtld,false,false
biz,gtld,false,true
bj,cctld,false,false
black,gtld,false,false
blackfriday,gtld,false,false
blockbuster,gtld,true,false
blog,gtld,false,false
bloomberg,gtld,true,false
blue,gtld,false,false
bm,cctld,false,false
bms,gtld,true,false
bmw,gtld,true,false
bn,cctld,false,false
bnpparibas,gtld,true,false
bo,cctld,false,true
boats,gtld,false,false
boehringer,gtld,true,false
bofa,gtld,true,false
bom,gtld,false,false
bond,gtld,false,false
boo,gtld,false,false
book,gtld,false,false
booking,gtld,false,false
bosch,gtld,true,false
bostik,gtld,true,false
boston,gtld,false,false
bot,gtld,false,false
boutique,gtld,false,false
box,gtld,false,false
br,cctld,false,true
bradesco,gtld,true,false
bridgestone,gtld,true,false
broadway,gtld,false,false
broker,gtld,false,false
brother,gtld,true,false
brussels,gtld,false,false
bs,cctld,false,true
bt,cctld,false,false
build,gtld,false,false
builders,gtld,false,false
business,gtld,false,false
buy,gtld,false,false
buzz,gtld,false,false
bv,cctld,false,false
bw,cctld,false,false
by,cctld,false,false
bz,cctld,false,false
bzh,gtld,false,false
ca,cctld,false,true
