platform,platform_type,platform_version,release_date,check_date,zones_count,cctld_count,gtld_count,brand_count,linked_total,linked_cctlds,linked_gtlds,linked_brands,linked_pct
android,os,10,2019-09-03,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,11,2020-09-08,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,12.1,2022-03-07,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,12,2021-10-04,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,13,2022-08-15,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,14,2023-10-04,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,15,2024-10-15,2026-03-02,1436,248,1188,361,1434,248,1186,361,99.9
android,os,16,2025-06-10,2026-03-02,1436,248,1188,361,1434,248,1186,361,99.9
android,os,4.1,2012-07-09,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,4.2,2012-11-13,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,4.3,2013-07-24,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,4.4,2013-10-31,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,4,2011-10-19,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,5.1,2015-03-09,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,5,2014-11-12,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,6,2015-10-05,2026-03-02,1436,248,1188,361,297,245,52,0,20.7
android,os,7.1,2016-10-04,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,7,2016-08-22,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,8.1,2017-12-05,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,8,2017-08-21,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
android,os,9,2018-08-06,2026-03-02,1436,248,1188,361,1056,247,809,171,73.5
apple,os,14.8.4,,2026-03-01,1436,248,1188,361,122,88,34,1,8.5
apple,os,14.8.5,2023-09-26,2026-04-06,1436,248,1188,361,122,88,34,1,8.5
apple,os,15.7.4,,2026-03-01,1436,248,1188,361,123,89,34,1,8.6
apple,os,26.3,2025-09-15,2026-04-20,1437,248,1189,361,125,91,34,1,8.7
windows,os,10,2015-07-29,2026-03-02,1436,248,1188,361,0,0,0,0,0.0
windows,os,11,2021-10-05,2026-03-02,1436,248,1188,361,0,0,0,0,0.0
